title,description,content,url,published_at,source
Apple TV Plus is being rebranded to… Apple TV,"The Apple TV Plus streaming service is being rebranded with a “vibrant new identity,” according to the Cupertino company, and is “now simply Apple TV.” The announcement was briefly mentioned at the bottom of Apple’s latest press release regarding the December…","<ul><li></li><li></li><li></li></ul>
Apple says its given the streaming service a vibrant new identity.
Apple says its given the streaming service a vibrant new identity.
by
Jess WeatherbedClose… [+2277 chars]",https://www.theverge.com/news/798857/apple-tv-plus-rebrand-streaming-service,2025-10-13T16:38:44Z,The Verge
Apple TV’s new name now comes with a new sound,"Apple has shared a new intro sound and video that will accompany things you watch on the newly-renamed Apple TV streaming service. Apple rebranded Apple TV Plus to just Apple TV last month, and the previous intro prominently highlighted the plus, so it makes …","<ul><li></li><li></li><li></li></ul>
After dropping the plus from Apple TV, Apple teamed up with Finneas to make a new intro sound.
After dropping the plus from Apple TV, Apple teamed up with Finne… [+2981 chars]",https://www.theverge.com/news/812644/apple-tv-sound-video-mnemonic-finneas-rebrand-name-plus,2025-11-03T18:58:57Z,The Verge
An Apple Shortcuts masterclass,"If you know how to set it up, it can almost seem like your phone can read your mind. The minute you walk out of the office, a text gets automatically fired off letting your spouse know exactly when you'll be home. When you start reading a book, your phone imm…","<ul><li></li><li></li><li></li></ul>
On The Vergecast: The Meta Ray-Ban Display, automating your life on your phone, and cheap earbuds.
On The Vergecast: The Meta Ray-Ban Display, automating your l… [+3531 chars]",https://www.theverge.com/podcast/807712/apple-shortcuts-best-tips-meta-display-vergecast,2025-10-28T13:14:14Z,The Verge
You can keep using your iPad as an Apple Home hub until February,"If you’ve been reluctant to update to the new Apple Home architecture, you now have a few more months before Apple forces your hand. Apple has pushed back the deadline to February 10, 2026, rather than fall 2025.  The refreshed version of Apple Home has been …","<ul><li></li><li></li><li></li></ul>
The old HomeKit architecture just got a few more months of support
The old HomeKit architecture just got a few more months of support
by
Stevie BonifieldClose… [+2275 chars]",https://www.theverge.com/news/814287/apple-home-new-architecture-update-delay,2025-11-05T16:56:44Z,The Verge
Apple is planning to use a custom version of Google Gemini for Apple Intelligence,"Apple is preparing to power its AI-upgraded Siri with a custom version of Google’s Gemini AI model, according to a report from Bloomberg’s Mark Gurman. The iPhone maker will reportedly pay Google around $1 billion annually to gain access to the technology, wh…","<ul><li></li><li></li><li></li></ul>
Apple will pay Google around $1 billion every year to help power AI features inside Siri, according to a report from Bloomberg.
Apple will pay Google around $1 … [+2992 chars]",https://www.theverge.com/news/814654/apple-intelligence-google-gemini-ai-siri,2025-11-05T20:12:33Z,The Verge
Apple Podcasts is generating automatic links and chapters,Apple Podcasts will soon include automatically-generated chapters for shows in English and allow creators to add links at specific timestamps in their episodes. Timed links may also be added to episodes automatically whenever creators mention another podcast.…,"<ul><li></li><li></li><li></li></ul>
The new features will arrive in iOS 26.2, which is currently in developer beta testing.
The new features will arrive in iOS 26.2, which is currently in develope… [+2188 chars]",https://www.theverge.com/news/813817/apple-podcasts-automatic-links-and-chapters,2025-11-04T22:34:28Z,The Verge
Pluribus: all the latest on Vince Gilligan’s Apple TV series,"Apple’s run of excellent sci-fi looks to continue with Pluribus. The series has some strong pedigree; it’s helmed by Breaking Bad and Better Call Saul creator Vince Gilligan, who also has a history in the genre working on The X-Files. It’s also a show that re…","Apples run of excellent sci-fi looks to continue with Pluribus. The series has some strong pedigree; its helmed by Breaking Bad and Better Call Saul creator Vince Gilligan, who also has a history in … [+4933 chars]",https://www.theverge.com/entertainment/815898/pluribus-apple-tv-vince-gilligan,2025-11-07T16:26:59Z,The Verge
Apple ends support for Clips video-editing app,"Apple’s Clips video editing app is no more. It debuted in 2017 as a way to stitch together videos with music, text, and filters with a clear focus on sharing to social media. Over the years Apple added AR features and more advanced video editing tools. But re…","Apple’s Clips video editing app is no more. It debuted in 2017 as a way to stitch together videos with music, text, and filters with a clear focus on sharing to social media. Over the years Apple add… [+709 chars]",https://www.theverge.com/news/798676/apple-ends-support-for-clips-video-editing-app,2025-10-11T19:35:04Z,The Verge
"Apple iPad Pro (2025) review: fast, faster, fastest","What do you get the tablet that has everything? Last year, Apple debuted a massive overhaul to the iPad Pro, with a thin new design, a gorgeous new screen, a bunch of updated accessories, and a speedy new chip. I called it the best iPad ever. I also wondered …","<ul><li></li><li></li><li></li></ul>
Apple iPad Pro (2025) review: fast, faster, fastest
This years model is a teeny-tiny upgrade to an already fabulous tablet. But theres a glimmer of something bi… [+7630 chars]",https://www.theverge.com/tech/803105/apple-ipad-pro-2025-review-fast-faster-fastest,2025-10-21T12:39:35Z,The Verge
Here’s where you can preorder the new M5 MacBook Pro and iPad Pro,"Apple recently announced revised 14-inch MacBook Pro and iPad Pro models, each equipped with the new M5 processor. As expected, Apple's new M5 chip is supposedly faster than the M4, with better performance for graphically demanding applications. Apple also sa…","<ul><li></li><li></li><li></li></ul>
Apples latest gadgets launch on October 22nd with a faster processor and other minor upgrades.
Apples latest gadgets launch on October 22nd with a faster proces… [+4777 chars]",https://www.theverge.com/tech/800056/m5-macbook-pro-14-inch-ipad-pro-preorder-price-release-date-availability,2025-10-15T20:50:24Z,The Verge
